stock_no,name,currency,volume,close
619,SOUTH CHINA FIN,HKD,32000,0.38
620,DTXS SILK ROAD,HKD,391733,6.49
621,TAUNG GOLD,HKD,56340000,0.041
622,OSHIDORI,HKD,1439400,0.92
623,SINOMEDIA,HKD,22000,1.37
625,RREEF CCT REIT,HKD,0,
626,PUBLIC FIN HOLD,HKD,742000,3.19
627,FULLSUN INT'L,HKD,121421071,0.177
628,GOME FIN TECH,HKD,22000,0.65
629,YUE DA INTL,HKD,105000,0.45
630,AMCO UNITED,HKD,0,0.09
631,SANY INT'L,HKD,6313000,4.46
632,PEARLORIENT OIL,HKD,101240,0.7
633,CH ALL ACCESS,HKD,4150000,0.218
635,PLAYMATES,HKD,410000,1.21
636,KERRY LOG NET,HKD,256208,13.62
637,LEE KEE,HKD,30000,0.31
638,KIN YAT HOLD,HKD,190000,0.93
639,SHOUGANG RES,HKD,5544882,1.7
640,INFINITY DEV,HKD,260000,0.88
641,CHTC FONG'S INT,HKD,26000,0.56
643,CARRY WEALTH,HKD,0,0.22
645,ARES ASIA,HKD,0,0.52
646,CHINA ENV TEC,HKD,2312000,0.03
647,JOYCE BOUTIQUE,HKD,3792000,0.26
648,WAH YAN-NEW,HKD,0,
650,IDG ENERGY INV,HKD,362000,0.84
651,CHI OCEAN IND,HKD,9624500,0.16
653,BONJOUR HOLD,HKD,1634000,0.089
655,HK CHINESE LTD,HKD,487500,0.88
656,FOSUN INTL,HKD,6166017,11.6
657,G-VISION INT'L,HKD,6000,0.041
658,C TRANSMISSION,HKD,3207000,5.55
659,NWS HOLDINGS,HKD,3389458,11.1
660,WAI CHUN BIOTEC,HKD,0,0.036
661,CDAYENONFER,HKD,2518000,0.053
662,ASIA FINANCIAL,HKD,0,4.0
663,KING STONE ENGY,HKD,8121000,0.096
665,HAITONG INT'L,HKD,22387330,2.53
666,SHK HK IND,HKD,200000,0.118
667,CHINA EAST EDU,HKD,2988206,15.3
668,DOYEN INTL HOLD,HKD,0,0.375
669,TECHTRONIC IND,HKD,2249145,64.75
670,CHINA EAST AIR,HKD,10114000,4.36
672,ZHONGAN GROUP,HKD,3006600,0.233
673,CHINA HEALTH,HKD,747000,0.169
674,CHINA TANGSHANG,HKD,108000,0.172
675,K &amp; P INT'L,HKD,0,0.485
676,PEGASUS INT'L,HKD,0,0.81
677,GOLDEN RES DEV,HKD,192000,0.6
678,GENTING HK,HKD,3076000,0.77
679,ASIA TELE-NET,HKD,10000,1.56
680,NAN HAI CORP,HKD,1800000,0.104
681,CHI PEOPLE HOLD,HKD,812000,0.055
682,CHAODA MODERN,HKD,572000,0.052
